id,tier,sql_pattern,question,expected_sql,expected_answer_hint
1,Tier 1,COUNT,How many teachers are in the university?,SELECT COUNT(*) AS teacher_count FROM teachers;,6 teachers
2,Tier 1,SELECT + WHERE,What is the email address of student Alice Johnson?,SELECT email FROM students WHERE first_name = 'Alice' AND last_name = 'Johnson';,alice.j@university.edu
3,Tier 1,SELECT all,List all course codes and their titles.,"SELECT course_code, title FROM courses ORDER BY course_code;",12 courses listed
4,Tier 1,COUNT + WHERE,How many enrollments have a status of 'dropped'?,SELECT COUNT(*) AS dropped_count FROM enrollments WHERE status = 'dropped';,3 dropped enrollments
5,Tier 1,SELECT + WHERE (name filter),What year did Bob Kim first enroll in the university?,SELECT enrollment_year FROM students WHERE first_name = 'Bob' AND last_name = 'Kim';,2023
6,Tier 2,JOIN + GROUP BY + COUNT DISTINCT,"How many distinct students enrolled in each course? Show course title and count, ordered by count descending.","SELECT c.title, COUNT(DISTINCT e.student_id) AS student_count
FROM courses c
JOIN enrollments e ON c.course_id = e.course_id
GROUP BY c.course_id
ORDER BY student_count DESC;","CS101 → 9, MATH101 → 6, CS301 → 6 (two semesters combined), etc."
7,Tier 2,JOIN + GROUP BY + AVG + status filter,What is the average completed grade per student major?,"SELECT s.major, ROUND(AVG(e.grade), 2) AS avg_grade
FROM students s
JOIN enrollments e ON s.student_id = e.student_id
WHERE e.status = 'completed'
GROUP BY s.major
ORDER BY avg_grade DESC;","Computer Science: 85.15, Mathematics: 81.71, Physics: 81.7, English: 74.0"
8,Tier 2,GROUP BY + COUNT (no join needed),How many courses does each department offer?,"SELECT department, COUNT(*) AS course_count
FROM courses
GROUP BY department
ORDER BY course_count DESC;","Computer Science: 5, Mathematics: 4, Physics: 2, English: 1"
9,Tier 2,3-table JOIN + DISTINCT,Which students enrolled in at least one course in the Physics department? List their names alphabetically.,"SELECT DISTINCT s.first_name || ' ' || s.last_name AS student_name
FROM students s
JOIN enrollments e ON s.student_id = e.student_id
JOIN courses c ON e.course_id = c.course_id
WHERE c.department = 'Physics'
ORDER BY student_name;","Felix Müller, Isla Brown, Liam Patel, Maya Robinson, Noah Garcia, Olivia Wilson"
10,Tier 2,GROUP BY multiple cols + COUNT + WHERE,How many completed enrollments are there per semester and year?,"SELECT semester, year, COUNT(*) AS completed_count
FROM enrollments
WHERE status = 'completed'
GROUP BY semester, year
ORDER BY year, semester;","Fall 2024: 24, Spring 2025: 16, Summer 2025: 5"
